n_unique_values,std_dev,max_relative_frequency,norm_entropy,min_value,max_value,range_value,shannon_entropy,simpson_index,skewness_probs,kurtosis_probs,dispersion_index,uniformity,top2_ratio,top3_ratio,variable,dataset,type
7,1.55080421143074,0.407214025675417,0.78549033615571,1,7,6,1.52849361711027,0.727540627949353,0.758184054902086,-1.25409190292228,0.151202600725754,0.78549033615571,0.688158651082583,0.825445487641311,NFRATM,SN217,S
2,0.294065704195005,0.904387813757425,0.45493018949089,1,2,1,0.31533357819721203,0.172940992168981,0,0,0.654118015662039,0.45493018949089,1,1,FRALON,SN217,N
7,1.58063093235967,0.398463983050847,0.798003006278086,1,7,6,1.55284214889318,0.735394249587044,0.745528495538589,-1.26577197920414,0.142040042148449,0.798003006278086,0.674417372881356,0.815360169491525,NFRALOM,SN217,S
7,0.957256271832372,0.4697449375784,0.645176774467472,1,7,6,1.25545603337103,0.66099405361246,0.729591438647047,-1.24833401133956,0.228840270785463,0.645176774467472,0.767218206797682,0.933397049160743,NFIGLI2M,SN217,S
4,0.852378758633328,0.471659554006131,0.860354393688663,1,4,3,1.19270444453532,0.657947418569506,0.194420561614218,-2.04090672769395,0.122736775240658,0.860354393688663,0.76750616096652,0.933942417503156,NFIGPRM,SN217,S
2,0.432528488036622,0.753246753246753,0.806091469619222,1,2,1,0.558740029439987,0.371732163939956,0,0,0.256535672120088,0.806091469619222,1,1,NFIGADM,SN217,N
2,0.499200697349217,0.528522788363897,0.997651317653592,1,2,1,0.691519198013502,0.498372901087897,0,0,0.00325419782420664,0.997651317653592,1,1,FIGLON,SN217,N
4,0.865809559019488,0.405628390596745,0.841866479725558,1,4,3,1.16707475365939,0.652187083073095,-0.0538918120812387,-2.37551723435335,0.130417222569207,0.841866479725558,0.808318264014467,0.94122965641953,NFIGLOM,SN217,S
2,0.465716438980086,0.681986882912197,0.902207695283371,1,2,1,0.625362720265155,0.433761548895805,0,0,0.132476902208391,0.902207695283371,1,1,NIPOTI,SN217,N
8,1.96359138673909,0.274947774385345,0.884940959618495,1,8,7,1.84018299336472,0.81533989973436,0.448749941665747,-1.57871112486216,0.0681829717321599,0.884940959618495,0.510846858428411,0.670737586373132,NNIPOTM,SN217,S
2,0.171194382415691,0.969784172661871,0.195473069200903,1,2,1,0.135491606792005,0.0586056622328035,0,0,0.882788675534393,0.195473069200903,1,1,NIPLON,SN217,N
8,1.95700253092774,0.279250911501492,0.883700560201891,1,8,7,1.83760365528955,0.814642668454056,0.463385051410026,-1.5340536188292,0.068979807481079,0.883700560201891,0.511766655618164,0.669705004971826,NNIPLOM,SN217,S
6,1.92031624743096,0.401830181803458,0.842184569206044,1,13,12,1.50899217671268,0.740970179993023,0.548817654181842,-1.19406916744291,0.110835784008373,0.842184569206044,0.600194355589748,0.780783091063692,TITMAD2M,SN217,O
6,2.0696336646692,0.381920995891135,0.869079612882007,1,13,12,1.55718162589439,0.755462796450612,0.541253098267729,-1.20563478260268,0.0934446442592653,0.869079612882007,0.586631951507262,0.748871079288882,TITPAD2M,SN217,O
