REFYEAR,SEX,AGE,STAPRO,HWACTUAL,COEFF
2013,1,75,9,99,0.0685001793
2013,2,75,9,99,0.0904217349
2013,2,75,9,99,0.2638480736
2013,1,7,9,99,0.2293178908
2013,2,32,9,99,0.090960747
2013,2,47,0,30,0.1504789609
2013,1,32,5,40,0.4165383596
2013,2,32,5,30,0.1671946112
2013,1,65,0,50,0.0633227672
2013,2,32,5,48,0.0620350047
2013,1,47,0,0,0.2199126718
2013,2,20,9,99,0.1982561679
2013,2,47,5,0,0.0497525019
2013,2,7,9,99,0.0708201988
2013,2,75,9,99,0.1261513788
2013,1,47,9,99,0.0963586261
2013,2,47,9,99,0.1413733314
2013,2,32,5,40,0.250914276
2013,1,32,5,55,0.2330300916
2013,1,47,5,24,0.1975122128
2013,2,20,NA,30,0.1613941424
2013,1,32,5,36,0.2253964552
2013,1,32,0,40,0.167955217
2013,1,20,9,99,0.1013683043
2013,2,20,9,99,0.1585876289
2013,2,47,5,37,0.2175935764
2013,2,32,5,25,0.1306777198
2013,2,65,5,0,0.2491903172
2013,1,65,9,99,0.0839782222
2013,1,65,9,99,0.0167614309
2013,2,47,5,40,0.3072530836
2013,1,7,9,99,0.2053462935
2013,2,32,9,99,0.1491704215
2013,2,47,5,0,0.2078530047
2013,1,65,0,53,0.2102439
2013,2,75,9,99,0.0744382954
2013,1,47,0,0,0.1111728169
2013,2,32,0,24,0.1801053428
2013,2,32,9,99,0.223964091
2013,2,7,9,99,0.1298368079
2013,2,65,9,99,0.0928865915
2013,1,7,9,99,0.1798207612
2013,2,75,9,99,0.0411090763
2013,1,7,9,99,0.0828852711
2013,2,65,9,99,0.2823898489
2013,2,7,9,99,0.1200517303
2013,2,32,5,36,0.2190266455
2013,1,20,5,0,0.0547742938
2013,2,20,9,99,0.0683380696
2013,2,32,5,40,0.1109552871
2013,1,65,9,99,0.0997071941
2013,2,65,9,99,0.2324118432
2013,2,47,0,20,0.1689559942
2013,2,65,5,6,0.1617481842
2013,2,20,9,99,0.0769685609
2013,2,65,9,99,0.0347676912
2013,1,7,9,99,0.1757317302
2013,2,65,9,99,0.1734613142
2013,2,47,9,99,0.0549760715
2013,2,32,5,0,0.3651319622
2013,1,47,5,30,0.1761745601
2013,2,47,5,40,0.1897754871
2013,1,65,9,99,0.1872315384
2013,2,32,5,38,0.2969291536
2013,1,32,9,99,0.1730545176
2013,2,32,9,99,0.1926817152
2013,2,7,9,99,0.1316777917
2013,1,7,9,99,0.0633620245
2013,2,75,9,99,0.0493762323
2013,1,47,5,38,0.0953915322
2013,1,65,9,99,0.0853836592
2013,1,75,9,99,0.0964677123
2013,1,47,9,99,0.3059451426
2013,1,65,9,99,0.0869561082
2013,1,32,0,40,0.040676914
2013,1,65,9,99,0.081325962
2013,2,32,9,99,0.1850793672
2013,2,47,5,40,0.1924183506
2013,1,7,9,99,0.0210233842
2013,1,65,5,50,0.4591305232
2013,2,32,5,24,0.4154052222
2013,1,65,9,99,0.0823071779
2013,1,65,9,99,0.1770830351
2013,1,20,9,99,0.1742493908
2013,1,65,5,45,0.0845213145
2013,1,65,0,NA,0.1591396337
2013,2,47,5,46,0.1825988513
2013,1,47,5,20,0.1771544422
2013,2,75,9,99,0.0830062309
2013,2,65,9,99,0.1568847472
2013,1,20,5,20,0.074363791
2013,1,65,9,99,0.2101620997
2013,2,7,9,99,0.1563597918
2013,2,65,9,99,0.1320658324
2013,1,65,9,99,0.1227358372
2013,2,47,5,36,0.2875467798
2013,1,32,5,25,0.3420891243
2013,1,47,5,40,0.1361766127
2013,1,47,5,36,0.1454343236
2013,1,47,5,36,0.104421367
2013,1,65,9,99,0.1453443416
2013,1,32,5,0,0.0988569024
2013,1,7,9,99,0.161745716
2013,2,47,9,99,0.1675199314
2013,2,20,9,99,0.1449217109
2013,1,7,9,99,0.1865507357
2013,2,75,9,99,0.0964047768
2013,1,32,5,16,0.2545873381
2013,2,65,5,20,0.2077319427
2013,1,32,5,40,0.113502823
2013,2,47,9,99,0.1341400054
2013,2,32,5,15,0.1109223145
2013,1,20,9,99,0.1902317353
2013,1,47,5,36,0.0857036723
2013,2,7,9,99,0.2683270577
2013,1,47,5,18,0.0505530419
2013,1,7,9,99,0.0918365967
2013,2,65,9,99,0.1163695429
2013,1,75,9,99,0.038334084
2013,2,65,9,99,0.0852814388
2013,2,32,5,24,0.1077207082
2013,1,65,9,99,0.1338443592
2013,2,7,9,99,0.1514576914
2013,2,47,9,99,0.0912429225
2013,1,47,5,40,0.2511387623
2013,2,47,5,0,0.0866913373
2013,2,75,9,99,0.1208105716
2013,1,65,9,99,0.2342531038
2013,1,7,9,99,0.1301747863
2013,2,75,9,99,0.1024362723
2013,1,47,5,0,0.1378408447
2013,1,65,0,30,0.0629967674
2013,2,47,5,25,0.1810791176
2013,2,7,9,99,0.1395211547
2013,1,32,9,99,0.1217088665
2013,2,32,5,35,0.2686541306
2013,1,47,5,40,0.0942768103
2013,2,65,9,99,0.1990810126
2013,2,75,9,99,0.2002767603
2013,2,65,9,99,0.0821763552
2013,2,47,5,25,0.206168033
2013,1,65,9,99,0.0850618865
2013,1,65,5,40,0.0994961483
2013,2,65,9,99,0.0719636424
2013,1,7,9,99,0.2113039976
2013,2,7,9,99,0.1533204214
2013,1,75,9,99,0.0476346821
2013,2,32,5,40,0.3108625364
2013,1,65,9,99,0.1557508333
2013,2,47,5,40,0.1154592805
2013,2,75,9,99,0.0261140585
2013,1,65,9,99,0.1235633435
2013,1,75,9,99,0.0528752687
2013,2,65,5,40,0.2265946262
2013,2,47,5,15,0.141873739
2013,2,7,9,99,0.0706559967
2013,1,65,9,99,0.1369803279
2013,2,65,9,99,0.0784836929
2013,2,65,9,99,0.1487881194
2013,2,20,9,99,0.1639239493
2013,1,65,5,55,0.0902889022
2013,1,65,9,99,0.3210000568
2013,1,65,5,40,0.2461244682
2013,2,32,9,99,0.1145912428
2013,2,65,5,20,0.1150948554
2013,1,65,5,18,0.1505341982
2013,2,32,5,20,0.2746552932
